QuestName,TotalAssets,TaskSystem,SceneSystem,EntitySystem,WorldBuilding,AIBehavior,ConfigSystem
Prologue/q000,667,64,176,192,177,22,36
Prologue/q001,413,51,171,77,47,39,28
Prologue/q003,248,22,119,35,33,10,29
Prologue/q004,259,25,75,97,28,14,20
Prologue/q005,389,63,95,102,71,34,24
Part1/q101,295,28,98,68,36,39,26
Part1/q103,200,15,107,36,23,7,12
Part1/q104,197,21,80,34,28,17,17
Part1/q105,541,56,221,168,53,11,32
Part1/q108,284,23,123,60,38,13,27
Part1/q110,565,85,212,146,74,28,20
Part1/q112,401,28,125,136,62,36,14
Part1/q113,180,21,72,26,30,18,13
Part1/q114,383,44,115,73,79,52,20
Part1/q115,328,26,122,76,61,22,21
Part1/q116,87,9,38,19,10,5,6
Epilogue/q200,1,0,0,1,0,0,0
Epilogue/q201,136,3,59,43,12,5,14
Epilogue/q202,63,10,37,1,8,2,5
Epilogue/q203,156,8,65,45,19,3,16
Epilogue/q204,151,12,63,43,16,7,10
SideQuest/sq004,167,17,71,27,24,16,12
SideQuest/sq006,153,15,60,50,17,8,3
SideQuest/sq009,1,0,0,0,1,0,0
SideQuest/sq011,152,15,67,33,20,11,6
SideQuest/sq012,167,23,79,28,21,9,7
SideQuest/sq017,220,18,90,65,22,19,6
SideQuest/sq018,141,10,69,38,17,2,5
SideQuest/sq021,307,22,87,146,35,5,12
SideQuest/sq023,183,20,61,72,18,5,7
SideQuest/sq024,167,19,71,32,28,15,2
SideQuest/sq025,135,17,57,21,30,8,2
SideQuest/sq026,201,29,97,37,27,5,6
SideQuest/sq027,288,31,156,41,35,14,11
SideQuest/sq028,110,14,55,13,17,1,10
SideQuest/sq029,109,7,55,29,9,0,9
SideQuest/sq030,141,21,60,33,14,1,12
SideQuest/sq031,202,20,99,35,25,6,17
SideQuest/sq032,80,10,41,6,14,0,9
MinorQuest/mq000,89,8,24,44,11,0,2
MinorQuest/mq001,75,11,33,18,11,2,0
MinorQuest/mq002,54,6,32,0,13,3,0
MinorQuest/mq003,45,7,22,6,8,2,0
MinorQuest/mq005,16,4,5,3,2,2,0
MinorQuest/mq006,41,7,19,8,7,0,0
MinorQuest/mq007,50,7,27,4,8,0,4
MinorQuest/mq008,48,7,19,12,4,4,2
MinorQuest/mq009,34,3,20,3,6,1,1
MinorQuest/mq010,66,9,40,4,10,2,1
MinorQuest/mq011,14,3,5,2,2,1,1
MinorQuest/mq012,21,3,7,1,5,3,2
MinorQuest/mq013,19,3,7,4,2,2,1
MinorQuest/mq014,90,4,57,8,20,1,0
MinorQuest/mq015,54,8,32,3,10,1,0
MinorQuest/mq016,40,6,21,3,7,0,3
MinorQuest/mq017,56,8,25,7,11,1,4
MinorQuest/mq018,70,8,37,8,12,1,4
MinorQuest/mq019,63,8,36,6,8,3,2
MinorQuest/mq021,40,7,20,3,6,4,0
MinorQuest/mq022,25,5,10,4,3,2,1
MinorQuest/mq023,38,6,20,4,5,0,3
MinorQuest/mq024,36,8,17,4,7,0,0
MinorQuest/mq025,111,13,53,17,17,8,3
MinorQuest/mq026,63,8,35,8,8,3,1
MinorQuest/mq027,22,6,5,4,5,2,0
MinorQuest/mq028,59,7,37,6,6,1,2
MinorQuest/mq029,51,8,20,10,10,1,2
MinorQuest/mq030,42,5,19,8,4,5,1
MinorQuest/mq032,41,7,20,2,7,3,2
MinorQuest/mq033,100,3,20,69,8,0,0
MinorQuest/mq034,24,6,10,2,3,1,2
MinorQuest/mq035,31,8,15,0,7,1,0
MinorQuest/mq036,38,7,19,3,5,2,2
MinorQuest/mq037,35,3,12,10,4,4,2
MinorQuest/mq038,44,7,20,6,7,4,0
MinorQuest/mq040,50,7,24,7,7,4,1
MinorQuest/mq041,31,6,17,1,4,0,3
MinorQuest/mq042,33,5,17,3,5,0,3
MinorQuest/mq044,11,4,2,0,2,3,0
