分类,任务代号,QuestPhase文件数,SceneSolution文件数
主线-序章,q000,32,75
主线-序章,q001,26,69
主线-序章,q003,20,49
主线-序章,q004,18,30
主线-序章,q005,35,40
主线-第一章,q101,22,41
主线-第一章,q103,13,45
主线-第一章,q104,19,33
主线-第一章,q105,46,92
主线-第一章,q108,17,51
主线-第一章,q110,57,90
主线-第一章,q112,20,53
主线-第一章,q113,15,30
主线-第一章,q114,42,47
主线-第一章,q115,22,50
主线-第一章,q116,5,16
支线任务,sq004,15,31
支线任务,sq006,13,25
支线任务,sq009,0,0
支线任务,sq011,13,28
支线任务,sq012,19,33
支线任务,sq017,16,37
支线任务,sq018,8,29
支线任务,sq021,20,37
支线任务,sq023,16,26
支线任务,sq024,17,29
支线任务,sq025,15,23
支线任务,sq026,27,40
支线任务,sq027,29,68
支线任务,sq028,10,21
支线任务,sq029,5,24
支线任务,sq030,19,25
支线任务,sq031,18,42
支线任务,sq032,8,17
次要任务,mq000,5,10
次要任务,mq001,9,14
次要任务,mq002,4,13
次要任务,mq003,5,9
次要任务,mq005,2,2
次要任务,mq006,3,8
次要任务,mq007,3,11
次要任务,mq008,5,8
次要任务,mq009,1,8
次要任务,mq010,7,17
次要任务,mq011,1,2
次要任务,mq012,1,3
次要任务,mq013,1,3
次要任务,mq014,2,24
次要任务,mq015,6,13
次要任务,mq016,4,9
次要任务,mq017,6,10
次要任务,mq018,6,15
次要任务,mq019,6,15
次要任务,mq021,5,8
次要任务,mq022,3,4
次要任务,mq023,4,8
次要任务,mq024,6,7
次要任务,mq025,9,23
次要任务,mq026,6,15
次要任务,mq027,4,2
次要任务,mq028,5,16
次要任务,mq029,6,8
次要任务,mq030,3,8
次要任务,mq032,5,8
次要任务,mq033,1,8
次要任务,mq034,4,4
次要任务,mq035,6,6
次要任务,mq036,5,8
次要任务,mq037,1,5
次要任务,mq038,5,8
次要任务,mq040,5,10
次要任务,mq041,4,7
次要任务,mq042,3,7
次要任务,mq044,2,2
