quest_category,scene_count,choice_sections,normal_sections,total_sections,total_lines,avg_sections_per_scene,avg_lines_per_scene,choice_ratio
main_quests/part1,217,1424,7413,8837,18312,40.72,84.39,16.11%
main_quests/prologue,108,602,3334,3936,7235,36.44,66.99,15.29%
main_quests/epilogue,36,405,1682,2087,3957,57.97,109.92,19.41%
side_quests/sq027,20,125,966,1091,1870,54.55,93.50,11.46%
side_quests/sq011,11,95,567,662,1333,60.18,121.18,14.35%
side_quests/sq026,17,136,509,645,1317,37.94,77.47,21.09%
tertiary_characters,58,47,699,746,1225,12.86,21.12,6.30%
side_quests/sq023,9,117,559,676,1220,75.11,135.56,17.31%
side_quests/sq012,13,114,457,571,1214,43.92,93.38,19.96%
side_quests/sq017,16,90,553,643,1160,40.19,72.50,14.00%
side_quests/sq021,13,143,526,669,1152,51.46,88.62,21.38%
side_quests/sq031,15,97,467,564,1138,37.60,75.87,17.20%
primary_characters,13,19,650,669,1010,51.46,77.69,2.84%
side_quests/sq030,10,110,390,500,978,50.00,97.80,22.00%
side_quests/sq029,7,72,414,486,925,69.43,132.14,14.81%
side_quests/sq004,9,59,431,490,912,54.44,101.33,12.04%
side_quests/sq024,13,76,315,391,911,30.08,70.08,19.44%
secondary_characters,15,29,580,609,851,40.60,56.73,4.76%
side_quests/sq006,10,67,251,318,782,31.80,78.20,21.07%
side_quests/sq032,7,85,262,347,706,49.57,100.86,24.50%
side_quests/sq018,11,73,279,352,694,32.00,63.09,20.74%
side_quests/sq025,11,50,230,280,616,25.45,56.00,17.86%
minor_quests/mq025,7,50,239,289,542,41.29,77.43,17.30%
minor_quests/mq026,5,37,142,179,403,35.80,80.60,20.67%
side_quests/sq028,11,38,159,197,380,17.91,34.55,19.29%
minor_quests/mq037,2,30,96,126,330,63.00,165.00,23.81%
minor_quests/mq019,6,36,114,150,323,25.00,53.83,24.00%
minor_quests/mq028,5,28,149,177,277,35.40,55.40,15.82%
minor_quests/mq009,4,21,62,83,247,20.75,61.75,25.30%
minor_quests/mq000,4,47,29,76,239,19.00,59.75,61.84%
minor_quests/mq014,9,22,103,125,237,13.89,26.33,17.60%
minor_quests/mq006,3,21,96,117,232,39.00,77.33,17.95%
minor_quests/mq040,4,15,78,93,225,23.25,56.25,16.13%
minor_quests/mq010,6,21,57,78,223,13.00,37.17,26.92%
minor_quests/mq032,4,16,70,86,211,21.50,52.75,18.60%
minor_quests/mq001,5,18,91,109,210,21.80,42.00,16.51%
minor_quests/mq018,7,28,60,88,201,12.57,28.71,31.82%
minor_quests/mq008,3,14,90,104,180,34.67,60.00,13.46%
minor_quests/mq023,4,16,49,65,169,16.25,42.25,24.62%
minor_quests/mq007,5,12,77,89,165,17.80,33.00,13.48%
holocalls,66,0,159,159,159,2.41,2.41,0.00%
minor_quests/mq015,6,17,50,67,156,11.17,26.00,25.37%
minor_quests/mq002,6,14,49,63,150,10.50,25.00,22.22%
minor_quests/mq033,4,36,21,57,145,14.25,36.25,63.16%
test,2,43,0,43,140,21.50,70.00,100.00%
minor_quests/mq024,3,17,30,47,133,15.67,44.33,36.17%
minor_quests/mq016,3,17,42,59,123,19.67,41.00,28.81%
minor_quests/mq030,3,10,64,74,122,24.67,40.67,13.51%
minor_quests/mq017,5,14,39,53,121,10.60,24.20,26.42%
minor_quests/mq013,1,7,47,54,115,54.00,115.00,12.96%
minor_quests/mq021,4,17,33,50,111,12.50,27.75,34.00%
minor_quests/mq012,1,5,44,49,104,49.00,104.00,10.20%
minor_quests/mq003,4,13,43,56,101,14.00,25.25,23.21%
minor_quests/mq035,3,6,39,45,100,15.00,33.33,13.33%
minor_quests/mq036,3,12,29,41,95,13.67,31.67,29.27%
minor_quests/mq042,3,8,34,42,94,14.00,31.33,19.05%
minor_quests/mq011,1,6,55,61,94,61.00,94.00,9.84%
minor_quests/mq005,1,7,26,33,93,33.00,93.00,21.21%
minor_quests/mq041,3,7,25,32,75,10.67,25.00,21.88%
minor_quests/mq038,4,8,25,33,73,8.25,18.25,24.24%
minor_quests/mq022,2,9,29,38,71,19.00,35.50,23.68%
minor_quests/mq029,4,9,16,25,61,6.25,15.25,36.00%
minor_quests/mq027,1,2,0,2,9,2.00,9.00,100.00%
demos,1,2,4,6,9,6.00,9.00,33.33%
minor_quests/mq034,2,2,0,2,2,1.00,1.00,100.00%
